timestamp_new,cb_data_Temp,Pattern Label
15:33:00,261,Unloading
15:33:03,261,Unloading
15:33:06,261,Unloading
15:33:09,261,Unloading
15:33:12,261,Unloading
15:33:15,261,Unloading
15:33:18,261,Unloading
15:33:21,261,Unloading
15:33:24,261,Unloading
15:33:27,261,Unloading
15:33:30,261,Unloading
15:33:33,261,Unloading
15:33:36,261,Unloading
15:33:39,261,Unloading
15:33:42,261,Unloading
15:33:45,261,Unloading
15:33:48,261,Unloading
15:33:51,261,Unloading
15:33:54,261.4357867,Unloading
15:33:57,261.9342083,Unloading
15:34:00,262.8682894,Unloading
15:34:03,263,Unloading
15:34:06,263,Unloading
15:34:09,263,Unloading
15:34:12,263,Unloading
15:34:15,263,Unloading
15:34:18,262.5779954,Unloading
15:34:21,262.0801527,Unloading
15:34:24,262,Unloading
15:34:27,261.581117,Unloading
15:34:30,261.0824468,Unloading
15:34:33,260.1656114,Unloading
15:34:36,260,Unloading
15:34:39,260,Unloading
15:34:42,260,Unloading
15:34:45,260,Unloading
15:34:48,260,Unloading
15:34:51,260,Unloading
15:34:54,260,Unloading
15:34:57,260,Unloading
15:35:00,260,Unloading
15:35:03,260,Unloading
15:35:06,260,Unloading
15:35:09,260,Unloading
15:35:12,260,Unloading
15:35:15,260,Unloading
15:35:18,260,Unloading
15:35:21,260,Unloading
15:35:24,260,Unloading
15:35:27,260,Unloading
15:35:30,260,Unloading
15:35:33,260,Unloading
15:35:36,260,Unloading
15:35:39,260,Unloading
15:35:42,260,Unloading
15:35:45,260,Unloading
15:35:48,260,Unloading
15:35:51,260,Unloading
15:35:54,260.3666059,Unloading
15:35:57,260.8640358,Unloading
15:36:00,261,Unloading
15:36:03,261,Unloading
15:36:06,261,Unloading
15:36:09,261,Unloading
15:36:12,261,Unloading
15:36:15,261,Unloading
15:36:18,261,Unloading
15:36:21,261,Unloading
15:36:24,261,Unloading
15:36:27,261,Unloading
15:36:30,261,Unloading
15:36:33,261,Unloading
15:36:36,261,Unloading
15:36:39,261.3425158,Unloading
15:36:42,261.8403585,Unloading
15:36:45,262,Unloading
15:36:48,262,Unloading
15:36:51,262,Unloading
